,total,Taxonomy
Zotu1031,268,Bacteria(100.00000000000001);Proteobacteria(100.00000000000001);Gammaproteobacteria(100.00000000000001);Enterobacterales(100.00000000000001);Enterobacteriaceae(100.00000000000001);Klebsiella(100.00000000000001);Klebsiella pneumoniae(74.00000000000001)
Zotu1032,238,Bacteria(100.0);Bacteroidota(100.0);Bacteroidia(100.0);Bacteroidales(100.0);Prevotellaceae(100.0);Prevotella(100.0);uncultured bacterium(95.91666666666667)
Zotu1033,261,Bacteria(100.00000000000001);Actinobacteriota(100.00000000000001);Actinobacteria(100.00000000000001);Corynebacteriales(100.00000000000001);Corynebacteriaceae(100.00000000000001);Turicella(100.00000000000001);uncultured bacterium(50.92857142857143)
Zotu1034,186,Bacteria(100.0);Deinococcota(100.0);Deinococci(100.0);Deinococcales(100.0);Deinococcaceae(100.0);Deinococcus(100.0);Deinococcus geothermalis DSM 11300(70.83333333333334)
Zotu1036,205,Bacteria(100.00000000000001);Bacteroidota(100.00000000000001);Bacteroidia(100.00000000000001);Bacteroidales(100.00000000000001);Prevotellaceae(100.00000000000001);Prevotella(100.00000000000001);uncultured bacterium(90.81678488241553)
Zotu1037,204,Bacteria(99.99999999999994);Proteobacteria(99.99999999999994);Gammaproteobacteria(99.99999999999994);Enterobacterales(99.99999999999994);Morganellaceae(99.99999999999994);Morganella(99.99999999999994);Morganella morganii(76.18808076422059)
Zotu1038,228,Bacteria(100.0);Fusobacteriota(100.0);Fusobacteriia(100.0);Fusobacteriales(100.0);Leptotrichiaceae(100.0);Leptotrichia(100.0);uncultured bacterium(90.50089285714286)
Zotu1041,176,Bacteria(100.0);Firmicutes(100.0);Clostridia(100.0);Lachnospirales(100.0);Lachnospiraceae(100.0);Catonella(100.0);uncultured bacterium(97.5985294117647)
Zotu1044,205,Bacteria(99.99999999999997);Bacteroidota(99.99999999999997);Bacteroidia(99.99999999999997);Bacteroidales(99.99999999999997);Prevotellaceae(99.99999999999997);Prevotella(99.99999999999997);uncultured bacterium(95.13333333333331)
Zotu1045,4436,Bacteria(100.0);Firmicutes(100.0);Bacilli(100.0);Staphylococcales(100.0);Staphylococcaceae(100.0);Staphylococcus(100.0);uncultured bacterium(100.0)
Zotu1047,208,Bacteria(100.0);Firmicutes(100.0);Clostridia(100.0);Peptococcales(100.0);Peptococcaceae(100.0);Peptococcus(100.0);uncultured bacterium(100.0)
Zotu1048,204,Bacteria(100.00000000000001);Proteobacteria(100.00000000000001);Gammaproteobacteria(100.00000000000001);Pseudomonadales(100.00000000000001);Pseudomonadaceae(100.00000000000001);Pseudomonas(100.00000000000001);Pseudomonas putida(52.9435960865716)
Zotu1049,173,Bacteria(99.99999999999996);Firmicutes(99.99999999999996);Negativicutes(99.99999999999996);Veillonellales-Selenomonadales(99.99999999999996);Veillonellaceae(99.99999999999996);Veillonella(99.99999999999996);uncultured bacterium(36.32191127069213)
Zotu105,10424,Bacteria(99.99999999999999);Actinobacteriota(99.99999999999999);Actinobacteria(99.99999999999999);Corynebacteriales(99.99999999999999);Corynebacteriaceae(99.99999999999999);Corynebacterium(99.99999999999999);uncultured bacterium(98.34347277082684)
Zotu1050,180,Bacteria(100.0);Fusobacteriota(100.0);Fusobacteriia(100.0);Fusobacteriales(100.0);Fusobacteriaceae(100.0);Fusobacterium(100.0);uncultured bacterium(67.6936943249837)
Zotu1051,237,Bacteria(100.00000000000003);Bacteroidota(100.00000000000003);Bacteroidia(100.00000000000003);Bacteroidales(100.00000000000003);Prevotellaceae(100.00000000000003);Alloprevotella(100.00000000000003);uncultured organism(33.14523809523811)
Zotu1052,188,Bacteria(99.99999999999999);Firmicutes(99.99999999999999);Negativicutes(99.99999999999999);Veillonellales-Selenomonadales(99.99999999999999);Veillonellaceae(99.99999999999999);Veillonella(99.99999999999999);uncultured bacterium(83.9519357303277)
Zotu1053,218,Bacteria(100.00000000000003);Bacteroidota(100.00000000000003);Bacteroidia(100.00000000000003);Bacteroidales(100.00000000000003);Prevotellaceae(100.00000000000003);Alloprevotella(100.00000000000003);uncultured bacterium(55.64339434018563)
Zotu1055,249,Bacteria(99.99999999999997);Firmicutes(99.99999999999997);Bacilli(99.99999999999997);Lactobacillales(99.99999999999997);Lactobacillaceae(99.99999999999997);Lactobacillus(99.99999999999997);uncultured bacterium(28.22758776574026)
