,P1.B.V1,P1.B.V2,P10.B.V1,P10.B.V2,P11.B.V1,P11.B.V2,P12.B.V1,P12.B.V2,P13.B.V1,P13.B.V2,P14.B.V1,P14.B.V2,P15.B.V1,P15.B.V2,P16.B.V1,P16.B.V2,P17.B.V1,P17.B.V2,P18.B.V1,P18.B.V2,P19.B.V1,P19.B.V2,P2.B.V1,P2.B.V2,P20.B.V1,P20.B.V2,P3.B.V1,P3.B.V2,P4.B.V1,P4.B.V2,P5.B.V1,P5.B.V2,P6.B.V1,P6.B.V2,P7.B.V1,P7.B.V2,P8.B.V1,P8.B.V2,P9.B.V1,P9.B.V2,P1.E.V1,P1.E.V2,P10.E.V1,P10.E.V2,P11.E.V1,P11.E.V2,P12.E.V1,P12.E.V2,P13.E.V1,P13.E.V2,P14.E.V1,P14.E.V2,P15.E.V1,P15.E.V2,P16.E.V1,P16.E.V2,P17.E.V1,P17.E.V2,P18.E.V1,P18.E.V2,P19.E.V1,P19.E.V2,P2.E.V1,P2.E.V2,P20.E.V1,P20.E.V2,P3.E.V1,P3.E.V2,P4.E.V1,P4.E.V2,P5.E.V1,P5.E.V2,P6.E.V1,P6.E.V2,P7.E.V1,P7.E.V2,P8.E.V1,P8.E.V2,P9.E.V1,P9.E.V2,P1.N.V1,P1.N.V2,P10.N.V1,P10.N.V2,P11.N.V1,P11.N.V2,P12.N.V1,P12.N.V2,P13.N.V1,P13.N.V2,P14.N.V1,P14.N.V2,P15.N.V1,P15.N.V2,P16.N.V1,P16.N.V2,P17.N.V1,P17.N.V2,P18.N.V1,P18.N.V2,P19.N.V1,P19.N.V2,P2.N.V1,P2.N.V2,P20.N.V1,P20.N.V2,P3.N.V1,P3.N.V2,P4.N.V1,P4.N.V2,P5.N.V1,P5.N.V2,P6.N.V1,P6.N.V2,P7.N.V1,P7.N.V2,P8.N.V1,P8.N.V2,P9.N.V1,P9.N.V2
Zotu1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,119,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1012,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1015,7,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,25,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Zotu102,5,0,17,400,223,521,987,5,0,0,0,0,0,0,1290,184,174,0,5,0,3640,339,781,180,0,0,1,0,0,1,0,0,1404,311,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,5,0,0,0,0,42,42,80,0,0,0,1,0,0,275,32,0,0,9,9,0,0,3,1,0,0,0,0,0,0
Zotu1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,1,0,0
Zotu1022,0,0,0,0,42,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1023,0,0,0,0,124,7,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,2,0,0,0,0,0,0,1,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1025,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
